source,source_url,source_item_url,category,provider_name,legal_company_name,brand_or_product,product_id,apr_from,apr_to,company_url,source_notes
manekai_city_banks,https://manekai.ameba.jp/cardloan/company/city_banks/,https://manekai.ameba.jp/cardloan/resonabank/,銀行-メガ/都市,りそなプレミアム,,りそなプレミアムカードローン,,,,,scraped_from_manekai_company_category
yahoo_finance_cardloan_item,https://finance.yahoo.co.jp/card-loan/item,https://finance.yahoo.co.jp/card-loan/item/190,銀行-メガ/都市,りそな銀行,株式会社りそな銀行,りそなプレミアムカードローン,190,1.4500,13.9000,https://www.resonabank.co.jp/,companyType=1
existing_provider_candidate,data/cardloan_provider_candidates.csv,,銀行-メガ/都市,りそな銀行,,りそな銀行カードローン,,,,,ubersuggest_keyword_export
manekai_city_banks,https://manekai.ameba.jp/cardloan/company/city_banks/,https://manekai.ameba.jp/cardloan/smbc/,銀行-メガ/都市,三井住友銀行,,三井住友銀行カードローン,,,,,scraped_from_manekai_company_category; also_seen=existing_provider_candidate
yahoo_finance_cardloan_item,https://finance.yahoo.co.jp/card-loan/item,https://finance.yahoo.co.jp/card-loan/item/4,銀行-メガ/都市,三井住友銀行,株式会社三井住友銀行,三井住友銀行 カードローン,4,1.5000,14.5000,https://www.smbc.co.jp/,companyType=1
existing_provider_candidate,data/cardloan_provider_candidates.csv,,銀行-メガ/都市,三菱UFJ銀行,,バンクイック,,,,,ubersuggest_keyword_export
manekai_city_banks,https://manekai.ameba.jp/cardloan/company/city_banks/,https://manekai.ameba.jp/cardloan/bk-mufg/,銀行-メガ/都市,三菱UFJ銀行,,三菱UFJ銀行カードローン「バンクイック」,,,,,scraped_from_manekai_company_category
yahoo_finance_cardloan_item,https://finance.yahoo.co.jp/card-loan/item,https://finance.yahoo.co.jp/card-loan/item/17,銀行-メガ/都市,三菱UFJ銀行,株式会社三菱UFJ銀行,三菱UFJ銀行カードローンバンクイック,17,1.4000,14.6000,https://www.bk.mufg.jp,companyType=1
existing_provider_candidate,data/cardloan_provider_candidates.csv,,銀行-メガ/都市,埼玉りそな銀行,,埼玉りそな銀行カードローン,,,,,ubersuggest_keyword_export
yahoo_finance_cardloan_item,https://finance.yahoo.co.jp/card-loan/item,https://finance.yahoo.co.jp/card-loan/item/1503,銀行-地方,あいち銀行,株式会社あいち銀行,カードローン「愛」,1503,1.6000,13.9000,https://www.aichibank.co.jp/,companyType=2
yahoo_finance_cardloan_item,https://finance.yahoo.co.jp/card-loan/item,https://finance.yahoo.co.jp/card-loan/item/1490,銀行-地方,きらぼし銀行,株式会社きらぼし銀行,きらぼし銀行カードローン,1490,2.2500,14.9500,https://www.kiraboshibank.co.jp/,companyType=2; also_seen=existing_provider_candidate
manekai_region_banks,https://manekai.ameba.jp/cardloan/company/region_banks/,https://manekai.ameba.jp/cardloan/kirayaka/,銀行-地方,きらやか銀行,,きらやか銀行カードローン,,,,,scraped_from_manekai_company_category
manekai_region_banks,https://manekai.ameba.jp/cardloan/company/region_banks/,https://manekai.ameba.jp/cardloan/michinokubank/,銀行-地方,みちのく銀行,,みちのく銀行カードローン,,,,,scraped_from_manekai_company_category
yahoo_finance_cardloan_item,https://finance.yahoo.co.jp/card-loan/item,https://finance.yahoo.co.jp/card-loan/item/1489,銀行-地方,みなと銀行,株式会社みなと銀行,みなとカードローン,1489,4.5000,14.0000,https://www.minatobk.co.jp/,companyType=2
manekai_region_banks,https://manekai.ameba.jp/cardloan/company/region_banks/,https://manekai.ameba.jp/cardloan/minatobk/,銀行-地方,みなと銀行,,みなと銀行カードローン,,,,,scraped_from_manekai_company_category
manekai_region_banks,https://manekai.ameba.jp/cardloan/company/region_banks/,https://manekai.ameba.jp/cardloan/momijibank/,銀行-地方,もみじ銀行,,もみじ銀行カードローン,,,,,scraped_from_manekai_company_category; also_seen=existing_provider_candidate
yahoo_finance_cardloan_item,https://finance.yahoo.co.jp/card-loan/item,https://finance.yahoo.co.jp/card-loan/item/193,銀行-地方,もみじ銀行,株式会社もみじ銀行,マイカードもみじ君,193,4.5000,14.5000,https://www.momijibank.co.jp/,companyType=2
